threshold,net_benefit,treat_all,ci_lower,ci_upper
0.365,0.5279801254789676,0.5199797886226789,0.439998526253737,0.6251631647648321
0.37,0.5255071725659961,0.5161701044053986,0.4371212121212121,0.6232917409387997
0.375,0.5229946524064171,0.5122994652406417,0.43419786096256685,0.6213903743315508
0.38,0.523719165085389,0.5083663964119371,0.43332758323270654,0.6227358978782128
0.385,0.5211947306638842,0.5043693752445546,0.4302421633842006,0.6208425720620843
0.39,0.5220478653458402,0.5003068291400017,0.4320154291224686,0.6189664241255369
0.395,0.5195120873292969,0.4961771335130596,0.4290449463030892,0.617008441242763
0.4,0.5169340463458111,0.4919786096256684,0.4260249554367201,0.6150178253119428
0.405,0.5126050420168067,0.4877095223115984,0.4210162674695546,0.6108052846807172
0.41000000000000003,0.5046678147376054,0.48336807758542555,0.41192785280522065,0.6039268557962476
0.41500000000000004,0.509621097856392,0.47895242012889067,0.4182092417386535,0.6079562594268477
0.42000000000000004,0.5070993914807301,0.4744606306472432,0.4148995021205974,0.6061359026369169
0.425,0.49918623575912574,0.469890723087654,0.4061439200186003,0.5991629853522437
0.43,0.4965756637583263,0.46524064171123,0.4027277418144291,0.5970541326578478
0.435,0.4885712933604657,0.4605082580095594,0.39390350669632296,0.5898277412332591
0.44,0.4942704354469061,0.45569136745607336,0.39876814362108487,0.593229564553094
0.445,0.49062966710025535,0.4507876860818037,0.3953581924170159,0.5891759406465289
0.45,0.4827418570734079,0.4457948468643656,0.38785853184248914,0.5829241614000973
0.455,0.4801550311534121,0.4407103959181671,0.38459500564195653,0.5809694353137418
0.46,0.4820756585462468,0.4355317884729649,0.3859625668449198,0.5834818775995247
0.465,0.47948423209555696,0.43025638462691784,0.38272527362686787,0.5815383077615074
0.47000000000000003,0.47684391080617494,0.4248814448592473,0.3794319443043083,0.5795580667944709
0.47500000000000003,0.48382989559460143,0.4194041252864782,0.3880761395467277,0.5862235803412273
0.48000000000000004,0.4759358288770053,0.413821472645002,0.38169477581242295,0.5751028383381324
0.485,0.4783759929390997,0.4081304189813613,0.3836457089455377,0.5819246145059966
0.49,0.4758309741008703,0.4023277760301982,0.38060186641501526,0.5804917689000735
0.495,0.4732355588500026,0.39641022925821995,0.3774977497749775,0.579030550113835
0.5,0.4759358288770053,0.39037433155080214,0.3796791443850268,0.5775401069518717
